English	Japanese	Unit	Part of Speech	Text Book Page
after	～のあとに「で」	1-7-3	前置詞	72
afterschool	放課後	1-7-3		72
all	全ての	1-7-2	形容詞	71
all the time	いつでも	1-7-2		71
amazing	驚くべき、びっくりするような	1-7-3	形容詞	73
around	～のあたりに「で」	1-7-2	前置詞	71
baby	赤ん坊、赤ちゃん	1-7-2	名詞	71
back	背中	1-7-2	名詞	71
beautiful	美しい、すばらしい	1-7-2	形容詞	71
before dinner	夕食前	1-7-3		72
big	大きい	1-7-2	形容詞	71
dinner	夕食	1-7-3	名詞	72
do your homework	宿題をする	1-7-3	動詞フレーズ	72
dolphin(s)	イルカ	1-7-1	名詞	69
every	毎～、～ごとに	1-7-2	形容詞	71
every year	毎年	1-7-2	名詞	71
fin	（魚などの）ひれ	1-7-2	名詞	71
follow(s)	～のあとについて行く	1-7-2	動詞	71
game(s)	ゲーム	1-7-3	名詞	72
gram(s)	（重さの単位）グラム	1-7-4	名詞	75
group	グループ	1-7-1	名詞	69
hair	髪	1-7-1	名詞	68
Here you are.	はい、どうぞ。	1-7-4		75
high	高く	1-7-3	副詞	73
him	彼を「に」	1-7-2	代名詞	70
his	１．彼の　２．彼のもの	1-7-1	代名詞	69
homework	宿題	1-7-3	名詞	72
in the evening	夜に	1-7-3		72
jump	跳ぶ、ジャンプする	1-7-3	動詞	73
library	図書館	1-7-3	名詞	72
long	長い	1-7-1	形容詞	68
man	男性、男の人	1-7-1	名詞	68
mine	私のもの	1-7-4	代名詞	75
nice	よい、すばらしい	1-7-4	形容詞	75
ocean	大洋	1-7-1	名詞	68
Orca(s)	シャチ	1-7-1	名詞	69
our	私たちの	1-7-3	代名詞	73
practice	練習する	1-7-3	動詞	72
raise	１．あげる　２．（子供を）育てる	1-7-3	動詞	(22),(73)
red	赤（い）	1-7-4	名詞、形容詞	75
short	短い	1-7-1	形容詞	68
small	小さい	1-7-2	形容詞	71
Sorry, ～.	すみません、～です。	1-7-4		75
take a picture	写真をとる	1-7-4	動詞フレーズ	75
That's right.	その通りです。	1-7-1		68
their	彼ら「彼女ら」の、それらの	1-7-3	代名詞	73
them	彼ら「彼女ら・それら」を「に」	1-7-2	代名詞	71
umbrella	かさ、雨かさ	1-7-4	名詞	75
whale(s)	クジラ	1-7-1	名詞	69
when	いつ	1-7-3	副詞	72
which	どの、どちらの	1-7-4	形容詞	75
who	誰（が）	1-7-1	代名詞	68
who's	(=who is)	1-7-1		69
whose	誰の	1-7-4	代名詞	75
woman	女性、女の人	1-7-1	名詞	68
yours	あなたのもの	1-7-4	代名詞	75
