English	Japanese	Unit	Part of Speech	Text Book Page
about	について	1-3-1	前置詞	30
Canada	カナダ	1-3-1	名詞	31
come	来る	1-3-1	動詞	31
come from ~	～から来る	1-3-1	動詞 + 前置詞	31
English	１．英語　2．イギリス（人）	1-3-1	名詞、形容詞	(22),(31)
everyone	皆さん、だれも	1-3-1	代名詞	31
fine arts	美術	1-3-1	名詞	30
French	１．フランス語　２．フランス（人）	1-3-1	名詞、形容詞	31
guitar	ギター	1-3-1	名詞	31
hello	こんにちは	1-3-1	あいさつ	31
here	ここで　[に・へ]	1-3-1	副詞	31
home economics	家庭科	1-3-1	名詞	30
how	どのように	1-3-1	副詞	30
How about ~?	～はどうですか？	1-3-1		30
industrial arts	技術	1-3-1	名詞	30
Japanese	１．日本語　２．日本（人）	1-3-1	名詞、形容詞	30
like	（～が）好きです。	1-3-1	形容詞	30
math	数学	1-3-1	名詞	30
much	たくさん	1-3-1	副詞	31
music	音楽	1-3-1	名詞	30
P.E.	体育	1-3-1	名詞	30
piano	ピアノ	1-3-1	名詞	30
play	１．（楽器）を弾く　２．（ゲーム・スポーツ）をする	1-3-1	動詞	(30),(34)
science	科学	1-3-1	名詞	30
social studies	社会	1-3-1	名詞	30
speak	話す	1-3-1	動詞	31
the	その　（話している人の間で何を表すかわかっているときに使う）	1-3-1	冠詞	(22),(30)
very	たいへん、とても	1-3-1	副詞	31
very much	とても、非常に（much）	1-3-1		31
but	しかし	1-3-2	接続詞	33
coffee	コヒー	1-3-2	名詞	32
cola	コーラ	1-3-2	名詞	32
do	１．（疑問文・否定文に使う）２.(答えの文で動詞の代わりに使う)	1-3-2	動詞	32
don't	(do not)	1-3-2	動詞	32
drink	飲む	1-3-2	動詞	32
eat	食べる	1-3-2	動詞	32
Excuse me.	ちょっと失礼します。	1-3-2		33
food	食べ物	1-3-2	名詞	33
have	持っている、～がある（いる）	1-3-2	動詞	33
hot	熱い	1-3-2	形容詞	32
love	大好きである、愛する	1-3-2	動詞	33
Mr.	～さん、～先生（男性に対する敬称)	1-3-2	名詞	33
Ms.	～さん、～先生（女性に対する敬称)	1-3-2	名詞	33
question	質問	1-3-2	名詞	33
read	読む	1-3-2	動詞	(22),(23)
tea	お茶	1-3-2	名詞	32
tomato juice	トマトジュース	1-3-2	名詞	32
vegetable juice	野菜ジュウス	1-3-2	名詞	32
a week	一週間	1-3-3	名詞	
clean	掃除する	1-3-3	動詞	34
close	閉める	1-3-3	名詞	(22),(34)
cloudy	曇り	1-3-3	形容詞	35
cook	料理する	1-3-3	動詞	34
Friday	金曜日	1-3-3	名詞	35
make	作る	1-3-3	動詞	34
Monday	月曜日	1-3-3	名詞	35
open	開ける	1-3-3	動詞	(22),(34)
rainy	雨降り	1-3-3	形容詞	35
Saturday	土曜日	1-3-3	名詞	35
sing	歌う	1-3-3	動詞	34
study	勉強する	1-3-3	動詞	34
Sunday	日曜日	1-3-3	名詞	35
sunny	晴れ	1-3-3	形容詞	35
take	とる、行う	1-3-3	動詞	34
Thursday	木曜日	1-3-3	動詞	35
touch	さわる	1-3-3	動詞	34
Tuesday	火曜日	1-3-3	名詞	35
use	使う	1-3-3	動詞	34
wash	洗う	1-3-3	動詞	34
Wednesday	水曜日	1-3-3	名詞	35
week	週	1-3-3	名詞	35
write	書く	1-3-3	動詞	(22),(34)
